id,truth
1,0.1910000000
2,0.1924175884
3,0.1937951376
4,0.1951307949
5,0.1964228460
6,0.1976697180
7,0.1988699813
8,0.2000223516
9,0.2011256911
10,0.2021790096
11,0.2031814643
12,0.2041323604
13,0.2050311500
14,0.2058774314
15,0.2066709476
16,0.2074115845
17,0.2080993682
18,0.2087344631
19,0.2093171680
20,0.2098479131
21,0.2103272560
22,0.2107558777
23,0.2111345778
24,0.2114642703
25,0.2117459777
26,0.2119808263
27,0.2121700405
28,0.2123149367
29,0.2124169178
30,0.2023274666
31,0.2023481398
32,0.2023305611
33,0.2022764154
34,0.2021874416
35,0.2020654260
36,0.2019121960
37,0.2017296130
38,0.2015195659
39,0.2012839643
40,0.2010247325
41,0.2007438023
42,0.2004431072
43,0.2001245757
44,0.1997901258
45,0.1994416587
46,0.1990810532
47,0.1987101603
48,0.1983307980
49,0.1979447459
50,0.1975537409
51,0.1971594726
52,0.1967635789
53,0.1963676423
54,0.1959731865
55,0.1955816726
56,0.1951944965
57,0.1948129864
58,0.1944384002
59,0.1839219236
60,0.1835646689
61,0.1832176731
62,0.1828818976
63,0.1825582271
64,0.1822474697
65,0.1819503567
66,0.1816675433
67,0.1813996092
68,0.1811470594
69,0.1809103261
70,0.1806897697
71,0.1804856812
72,0.1802982841
73,0.1801277367
74,0.1799741353
75,0.1798375166
76,0.1797178609
77,0.1796150954
78,0.1795290979
79,0.1794597001
80,0.1794066914
81,0.1793698228
82,0.1793488111
83,0.1793433426
84,0.1793530773
85,0.1793776532
86,0.1794166902
87,0.1794697946
88,0.1693865630
89,0.1694665863
90,0.1695594541
91,0.1696647582
92,0.1697820969
93,0.1699110786
94,0.1700513252
95,0.1702024759
96,0.1703641902
97,0.1705361513
98,0.1707180688
99,0.1709096817
100,0.1711107604
101,0.1713211095
102,0.1715405695
103,0.1717690187
104,0.1720063747
105,0.1722525954
106,0.1725076804
107,0.1727716712
108,0.1730446522
109,0.1733267499
110,0.1736181339
111,0.1739190152
112,0.1742296466
113,0.1745503208
114,0.1748813694
115,0.1752231617
116,0.1755761021
117,0.1657906286
118,0.1661672102
119,0.1665563441
120,0.1669585535
121,0.1673743837
122,0.1678043995
123,0.1682491816
124,0.1687093226
125,0.1691854237
126,0.1696780907
127,0.1701879294
128,0.1707155421
129,0.1712615231
130,0.1718264542
131,0.1724109004
132,0.1730154056
133,0.1736404879
134,0.1742866356
135,0.1749543022
136,0.1756439025
137,0.1763558081
138,0.1770903434
139,0.1778477810
140,0.1786283385
141,0.1794321738
142,0.1802593822
143,0.1811099925
144,0.1819839639
145,0.1828811827
146,0.1736514598
147,0.1745945279
148,0.1755600394
149,0.1765475643
150,0.1775565882
151,0.1785865114
152,0.1796366475
153,0.1807062224
154,0.1817943745
155,0.1829001540
156,0.1840225234
157,0.1851603581
158,0.1863124474
159,0.1874774957
160,0.1886541244
161,0.1898408737
162,0.1910362051
163,0.1922385043
164,0.1934460841
165,0.1946571879
166,0.1958699936
167,0.1970826176
168,0.1982931193
169,0.1994995058
170,0.2006997371
171,0.2018917310
172,0.2030733691
173,0.2042425025
174,0.2053969578
175,0.1963845433
176,0.1975030558
177,0.1986002868
178,0.1996740296
179,0.2007220859
180,0.2017422734
181,0.2027324322
182,0.2036904326
183,0.2046141818
184,0.2055016315
185,0.2063507848
186,0.2071597038
187,0.2079265161
188,0.2086494223
189,0.2093267027
190,0.2099567241
191,0.2105379465
192,0.2110689293
193,0.2115483375
194,0.2119749480
195,0.2123476549
196,0.2126654750
197,0.2129275532
198,0.2131331668
199,0.2132817304
200,0.2133727998
201,0.2134060754
202,0.2133814061
203,0.2132987916
204,0.2030083854
205,0.2028104960
206,0.2025555895
207,0.2022442899
208,0.2018773798
209,0.2014558011
210,0.2009806540
211,0.2004531964
212,0.1998748426
213,0.1992471616
214,0.1985718745
215,0.1978508517
216,0.1970861099
217,0.1962798082
218,0.1954342434
219,0.1945518461
220,0.1936351746
221,0.1926869100
222,0.1917098500
223,0.1907069018
224,0.1896810762
225,0.1886354796
226,0.1875733068
227,0.1864978326
228,0.1854124040
229,0.1843204313
230,0.1832253795
231,0.1821307588
232,0.1810401157
233,0.1698070230
234,0.1687350708
235,0.1676778559
236,0.1666389724
237,0.1656220013
238,0.1646305009
239,0.1636679960
240,0.1627379685
241,0.1618438472
242,0.1609889973
243,0.1601767113
244,0.1594101988
245,0.1586925770
246,0.1580268614
247,0.1574159565
248,0.1568626471
249,0.1563695897
250,0.1559393040
251,0.1555741649
252,0.1552763953
253,0.1550480583
254,0.1548910511
255,0.1548070978
256,0.1547977442
257,0.1548643522
258,0.1550080945
259,0.1552299506
260,0.1555307027
261,0.1559109325
262,0.1462210182
263,0.1467611325
264,0.1473812408
265,0.1480811003
266,0.1488602592
267,0.1497180573
268,0.1506536263
269,0.1516658916
270,0.1527535735
271,0.1539151905
272,0.1551490620
273,0.1564533118
274,0.1578258729
275,0.1592644917
276,0.1607667340
277,0.1623299903
278,0.1639514827
279,0.1656282715
280,0.1673572628
281,0.1691352163
282,0.1709587538
283,0.1728243674
284,0.1747284294
285,0.1766672012
286,0.1786368433
287,0.1806334257
288,0.1826529378
289,0.1846912997
290,0.1867443727
291,0.1786579705
292,0.1807278706
293,0.1827998253
294,0.1848695737
295,0.1869328530
296,0.1889854096
297,0.1910230117
298,0.1930414598
299,0.1950365985
300,0.1970043281
301,0.1989406152
302,0.2008415043
303,0.2027031281
304,0.2045217184
305,0.2062936161
306,0.2080152813
307,0.2096833030
308,0.2112944083
309,0.2128454713
310,0.2143335215
311,0.2157557521
312,0.2171095271
313,0.2183923890
314,0.2196020648
315,0.2207364725
316,0.2217937263
317,0.2227721419
318,0.2236702404
319,0.2244867525
320,0.2150706218
321,0.2157210070
322,0.2162872839
323,0.2167690474
324,0.2171661114
325,0.2174785096
326,0.2177064947
327,0.2178505373
328,0.2179113242
329,0.2178897562
330,0.2177869450
331,0.2176042099
332,0.2173430734
333,0.2170052567
334,0.2165926746
335,0.2161074297
336,0.2155518058
337,0.2149282617
338,0.2142394236
339,0.2134880775
340,0.2126771611
341,0.2118097554
342,0.2108890754
343,0.2099184615
344,0.2089013693
345,0.2078413604
346,0.2067420917
347,0.2056073052
348,0.2044408177
349,0.1930965099
350,0.1918783157
351,0.1906402110
352,0.1893862028
353,0.1881203183
354,0.1868465938
355,0.1855690634
356,0.1842917484
357,0.1830186460
358,0.1817537193
359,0.1805008857
360,0.1792640074
361,0.1780468808
362,0.1768532266
363,0.1756866800
364,0.1745507818
365,0.1734489689
366,0.1723845659
367,0.1713607767
368,0.1703806767
369,0.1694472051
370,0.1685631583
371,0.1677311828
372,0.1669537696
373,0.1662332483
374,0.1655717821
375,0.1649713632
376,0.1644338089
377,0.1639607579
378,0.1534036673
379,0.1530638105
380,0.1527922751
381,0.1525899614
382,0.1524575823
383,0.1523956622
384,0.1524045382
385,0.1524843604
386,0.1526350936
387,0.1528565194
388,0.1531482380
389,0.1535096721
390,0.1539400698
391,0.1544385084
392,0.1550038995
393,0.1556349930
394,0.1563303832
395,0.1570885138
396,0.1579076843
397,0.1587860565
398,0.1597216611
399,0.1607124047
400,0.1617560775
401,0.1628503606
402,0.1639928340
403,0.1651809847
404,0.1664122149
405,0.1676838506
406,0.1689931498
407,0.1601873114
408,0.1615634839
409,0.1629687740
410,0.1644002557
411,0.1658549785
412,0.1673299767
413,0.1688222777
414,0.1703289105
415,0.1718469144
416,0.1733733471
417,0.1749052927
418,0.1764398698
419,0.1779742393
420,0.1795056114
421,0.1810312532
422,0.1825484953
423,0.1840547385
424,0.1855474604
425,0.1870242208
426,0.1884826674
427,0.1899205414
428,0.1913356819
429,0.1927260305
430,0.1940896355
431,0.1954246552
432,0.1967293616
433,0.1980021426
434,0.1992415050
435,0.2004460759
436,0.1914646046
437,0.1925959638
438,0.1936891497
439,0.1947432830
440,0.1957576080
441,0.1967314927
442,0.1976644276
443,0.1985560239
444,0.1994060127
445,0.2002142419
446,0.2009806746
447,0.2017053856
448,0.2023885587
449,0.2030304833
450,0.2036315504
451,0.2041922486
452,0.2047131603
453,0.2051949565
454,0.2056383928
455,0.2060443040
456,0.2064135993
457,0.2067472568
458,0.2070463185
459,0.2073118845
460,0.2075451076
461,0.2077471878
462,0.2079193665
463,0.2080629206
464,0.2081791573
465,0.1981194083
466,0.1981850240
467,0.1982273681
468,0.1982478122
469,0.1982477305
470,0.1982284946
471,0.1981914683
472,0.1981380028
473,0.1980694322
474,0.1979870687
475,0.1978921985
476,0.1977860776
477,0.1976699282
478,0.1975449350
479,0.1974122420
480,0.1972729492
481,0.1971281104
482,0.1969787302
483,0.1968257623
484,0.1966701073
485,0.1965126117
486,0.1963540659
487,0.1961952040
488,0.1960367029
489,0.1958791820
490,0.1957232030
491,0.1955692709
492,0.1954178339
493,0.1952692844
494,0.1849739608
495,0.1848321479
496,0.1846940798
497,0.1845599408
498,0.1844298682
499,0.1843039547
500,0.1841822509
501,0.1840647682
502,0.1839514816
503,0.1838423335
504,0.1837372362
505,0.1836360760
506,0.1835387167
507,0.1834450030
508,0.1833547646
509,0.1832678195
510,0.1831839785
511,0.1831030487
512,0.1830248373
513,0.1829491557
514,0.1828758231
515,0.1828046704
516,0.1827355437
517,0.1826683082
518,0.1826028511
519,0.1825390855
520,0.1824769534
521,0.1824164285
522,0.1823575193
523,0.1721502717
524,0.1720947713
525,0.1720411455
526,0.1719895661
527,0.1719402501
528,0.1718934619
529,0.1718495141
530,0.1718087687
531,0.1717716373
532,0.1717385821
533,0.1717101154
534,0.1716867995
535,0.1716692465
536,0.1716581168
537,0.1716541187
538,0.1716580066
539,0.1716705791
540,0.1716926775
541,0.1717251829
542,0.1717690143
543,0.1718251251
544,0.1718945005
545,0.1719781539
546,0.1720771233
547,0.1721924676
548,0.1723252627
549,0.1724765968
550,0.1726475667
551,0.1728392725
552,0.1629028135
553,0.1631392828
554,0.1633997630
555,0.1636853205
556,0.1639970007
557,0.1643358229
558,0.1647027750
559,0.1650988082
560,0.1655248318
561,0.1659817083
562,0.1664702481
563,0.1669912043
564,0.1675452681
565,0.1681330638
566,0.1687551440
567,0.1694119855
568,0.1701039844
569,0.1708314525
570,0.1715946132
571,0.1723935978
572,0.1732284419
573,0.1740990826
574,0.1750053559
575,0.1759469932
576,0.1769236203
577,0.1779347545
578,0.1789798040
579,0.1800580659
580,0.1811687260
581,0.1721608581
582,0.1733334242
583,0.1745352747
584,0.1757651492
585,0.1770216777
586,0.1783033822
587,0.1796086786
588,0.1809358792
589,0.1822831955
590,0.1836487410
591,0.1850305353
592,0.1864265079
593,0.1878345022
594,0.1892522805
595,0.1906775293
596,0.1921078640
597,0.1935408352
598,0.1949739346
599,0.1964046011
600,0.1978302280
601,0.1992481690
602,0.2006557462
603,0.2020502568
604,0.2034289812
605,0.2047891901
606,0.2061281529
607,0.2074431454
608,0.2087314581
609,0.2099904042
610,0.2010673279
611,0.2022596128
612,0.2034146900
613,0.2045300463
614,0.2056032327
615,0.2066318720
616,0.2076136671
617,0.2085464090
618,0.2094279840
619,0.2102563818
620,0.2110297022
621,0.2117461625
622,0.2124041042
623,0.2130019994
624,0.2135384569
625,0.2140122284
626,0.2144222134
627,0.2147674648
628,0.2150471930
629,0.2152607709
630,0.2154077370
631,0.2154877993
632,0.2155008376
633,0.2154469066
634,0.2153262375
635,0.2151392390
636,0.2148864988
637,0.2145687839
638,0.2141870401
639,0.2035923913
640,0.2030861388
641,0.2025197589
642,0.2018949011
643,0.2012133849
644,0.2004771967
645,0.1996884857
646,0.1988495598
647,0.1979628802
648,0.1970310567
649,0.1960568413
650,0.1950431218
651,0.1939929156
652,0.1929093618
653,0.1917957139
654,0.1906553320
655,0.1894916737
656,0.1883082860
657,0.1871087961
658,0.1858969018
659,0.1846763618
660,0.1834509862
661,0.1822246261
662,0.1810011633
663,0.1797845001
664,0.1785785482
665,0.1773872185
666,0.1762144102
667,0.1750640001
668,0.1637898314
669,0.1626957037
670,0.1616353614
671,0.1606124841
672,0.1596306752
673,0.1586934524
674,0.1578042369
675,0.1569663441
676,0.1561829737
677,0.1554572001
678,0.1547919638
679,0.1541900627
680,0.1536541432
681,0.1531866931
682,0.1527900334
683,0.1524663114
684,0.1522174943
685,0.1520453631
686,0.1519515066
687,0.1519373167
688,0.1520039837
689,0.1521524922
690,0.1523836180
691,0.1526979250
692,0.1530957631
693,0.1535772663
694,0.1541423522
695,0.1547907210
696,0.1555218560
697,0.1461850245
698,0.1470792789
699,0.1480534592
700,0.1491061951
701,0.1502359097
702,0.1514408231
703,0.1527189569
704,0.1540681393
705,0.1554860104
706,0.1569700284
707,0.1585174765
708,0.1601254694
709,0.1617909616
710,0.1635107550
711,0.1652815074
712,0.1670997417
713,0.1689618552
714,0.1708641290
715,0.1728027380
716,0.1747737618
717,0.1767731943
718,0.1787969556
719,0.1808409022
720,0.1829008386
721,0.1849725287
722,0.1870517071
723,0.1891340909
724,0.1912153909
725,0.1932913237
726,0.1852076231
727,0.1872600513
728,0.1892944109
729,0.1913065560
730,0.1932924033
731,0.1952479429
732,0.1971692497
733,0.1990524930
734,0.2008939475
735,0.2026900028
736,0.2044371730
737,0.2061321061
738,0.2077715924
739,0.2093525734
740,0.2108721492
741,0.2123275864
742,0.2137163247
743,0.2150359837
744,0.2162843686
745,0.2174594758
746,0.2185594975
747,0.2195828264
748,0.2205280587
749,0.2213939979
750,0.2221796570
751,0.2228842603
752,0.2235072451
753,0.2240482617
754,0.2245071744
755,0.2147340601
756,0.2150292077
757,0.2152431164
758,0.2153764929
759,0.2154302492
760,0.2154054986
761,0.2153035517
762,0.2151259124
763,0.2148742720
764,0.2145505043
765,0.2141566591
766,0.2136949558
767,0.2131677763
768,0.2125776576
769,0.2119272842
770,0.2112194794
771,0.2104571971
772,0.2096435129
773,0.2087816148
774,0.2078747937
775,0.2069264340
776,0.2059400034
777,0.2049190430
778,0.2038671570
779,0.2027880026
780,0.2016852794
781,0.2005627189
782,0.1994240743
783,0.1982731098
784,0.1869635902
785,0.1857992708
786,0.1846338871
787,0.1834711445
788,0.1823147087
789,0.1811681957
790,0.1800351626
791,0.1789190980
792,0.1778234133
793,0.1767514342
794,0.1757063917
795,0.1746914149
796,0.1737095229
797,0.1727636177
798,0.1718564773
799,0.1709907496
800,0.1701689460
801,0.1693934364
802,0.1686664439
803,0.1679900401
804,0.1673661416
805,0.1667965060
806,0.1662827288
807,0.1658262415
808,0.1654283087
809,0.1650900275
810,0.1648123258
811,0.1645959623
812,0.1644415263
813,0.1541994384
814,0.1541699514
815,0.1542031520
816,0.1542989626
817,0.1544571441
818,0.1546772986
819,0.1549588727
820,0.1553011617
821,0.1557033133
